DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,OD_PORC,TOX_D_48_UT,TOX_V_15_UT
259.5809708271381,1284.46,75.5,9618202.356077485,24000.0,13.1,1.27,37.04
373.33,822.23,81.5,24000.0,24000.0,17.6,2.66,8.13
31.0,133.29,20.0,2400.0,1500.0,13.1,1.0,1.0
680.0,1442.254703976759,80.0,24000.0,24000.0,10.0,2.75,25.64
240.0,590.8,82.1,24000.0,24000.0,13.7,1.28,20.0
76.67,202.23,122.6,24000.0,24000.0,19.7,1.0,8.2
193.33,333.5209888696268,416.7,11501200.0,1852755.63148357,12.3,5.38,1.38
66.67,167.94,873.3,4600.0,110.0,63.374854517493674,1.1616504141412596,1.0
12.5,89.13,318.2,24000.0,24000.0,55.3,1.0,1.0
136.835,272.635,119.285,4651200.0,2100.0,11.7,1.0,10.31
2.0,31.63,29.0,4600.0,2400.0,90.4,1.0,1.0
2.0,38.71,10.0,11000.0,4600.0,70.3,1.0,1.0
2.0,39.96,10.0,11000.0,2100.0,65.6,1.0,1.0
2.0,45.79,10.0,4600.0,2400.0,69.2,1.0,1.0
3.17,35.79,288.48719872550976,2400.0,1500.0,61.2,0.9642496724486095,1.0
6.0,32.04610358982484,351.9,24000.0,24000.0,70.49179802149911,1.0,1.3846613522128266
18.0,94.54,465.4,24000.0,1500.0,57.2,1.0,1.0
5.17,62.46,374.2314849469241,24000.0,160173.99378255886,17.6,1.0,3.5368642420862693
6.0,83.71,424.1,24000.0,2100.0,47.8,0.9573983994853407,1.0
63.20072152480978,165.09,540.0,11000.0,2400.0,50.9,1.0,1.0
18.0,38.85854431014636,851.4,24000.0,24000.0,57.5,1.0,1.0
30.0,128.71,366.6350369772293,24000.0,24000.0,49.2,1.036574043934486,1.0
10.0,85.79,362.7766371808283,4600.0,2100.0,47.4,1.0,1.0
370.0,601.86,399.6643654657612,10512000.0,11000.0,20.906736491031282,1.0,2.47
254.5403993657951,890.8,190.0,24000.0,24000.0,12.6,1.76,19.61
77.33,186.345,280.75,3825027.813362861,24000.0,50.2,1.0,1.0
173.33,405.08,91.1,24000.0,24000.0,10.0,1.08,11.9
27.0,96.63,196.4,24000.0,24000.0,32.7,1.0,1.0
460.0,796.51,136.8,24000.0,24000.0,19.7,1.0,12.5
360.0,696.51,259.4,24000.0,24000.0,10.6,1.0,23.26
61.5,127.9684956360502,267.665,7512000.0,24000.0,25.8,1.0,1.0
26.67,100.38,169.0,24000.0,24000.0,22.3,1.0,1.0
73.33,190.8,52.1,24000.0,24000.0,15.5,1.0,1.46
44.0,93.71,55.0,24000.0,24000.0,38.9,1.0,2.3511042828878814
187.0,377.94,256.65,11512000.0,24000.0,61.11574492878169,1.250691750283212,1.0
76.67,196.51,183.9,24000.0,930.0,41.4,1.0,5.084798765461845
50.0,165.09,274.3,24000.0,1500.0,24.1,1.0,1.0
46.0,101.21,54.8,24000.0,24000.0,33.1,1.0,1.0
54.09198528298526,73.29,392.4434535043863,4600.0,2400.0,11.1,1.0,1.0
123.33,265.08,387.9,24000.0,71836.2001376256,14.2,1.0,6.37
2.14,34.13,42.0,24000.0,24000.0,64.5,1.0,1.0
185.14020542710549,725.09,200.0,930.0,-78134.41137293886,17.3,1.0,11.9
294.0,5200.0,40.7,2419600.0,2419600.0,10.0,1.92,221.8452861768491
183.5,7900.0,1038.9,241960.0,241960.0,26.1,1.0,345.96409434515385
205.0,360.0,48.2,68670.0,32550.0,10.0,1.0,6.41
2.0,10.0,27.5,15531.0,54713.09463941777,70.87006554338079,1.0,1.0
2.0,10.0,117.1,5172.0,455.0,117.4,1.0,1.0
2.0,24.96,10.6,24196.0,3.0,65.7,1.0,1.0
107.8,130.46,10.0,23.0,4.0,42.0,1.0,1.0
31.98,53.79,10.0,93.0,23.0,70.1,1.0,1.0
24.72,38.56,14.0,9.0,4.0,65.8,1.0326380128217887,1.0
28.32,36.65,16.0,-1096895.5101796035,7.0,46.4,1.0,1.0
106.4,142.52,18.0,21.0,4.0,17.4,1.0,1.0
29.64,47.80398162655784,12.0,150.0,20.0,19.4,1.0,1.0
