DQO_mg/L,TOX_V_15_UT,E_COLI_NMP_100mL,TOX_D_48_UT
98.71,1.0,24000.0,1.0
74.54,1.0,24000.0,1.0
70.79,1.0,750.0,1.0
80.38,1.0,24000.0,1.0
84.13,1.0,24000.0,1.0
49.13,1.0,24000.0,1.0
24.13,1.0,24000.0,1.0
36.63,1.0,24000.0,1.0
30.79,1.0,24000.0,1.0
89.13,1.0,24000.0,1.0
24.13,1.0,210.0,1.0
56.21,1.0,3.0,1.0
25.38,1.0,2100.0,1.0
32.46,1.0,24000.0,1.0
32.46,1.0,90.0,1.0
30.79,1.0,150.0,1.0
33.29,1.0,150.0,1.0
35.38,1.0,90.0,1.0
35.38,1.0,90.0,1.0
29.96,1.0,2400.0,1.0
13.24,1.0,93.0,1.0
58.69,1.0,3.0,2.09
48.29,1.0,24000.0,1.0
10.0,1.0,1146.0,1.0
10.0,1.0,2359.0,1.0
17.56,1.0,689.0,1.0
29.54,1.0,70.0,1.0
44.95,1.0,2400.0,1.0
23.4,1.0,2400.0,1.0
45.65,1.0,2400.0,1.0
10.0,1.0,7.0,1.0
69.81,1.0,2400.0,1.0
17.07,1.0,2400.0,1.0
54.31,1.0,210.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,2400.0,1.0
10.0,1.0,150.0,1.0
181.615,4.63,1221898.0,2.85
32.46,1.0,24196.0,1.0
94.67,1.0,24196.0,1.0
132.97,1.0,24196.0,1.0
228.08,9.62,241960.0,1.0
66.05,1.0,24196.0,1.0
116.05,1.0,24196.0,1.0
42.54,1.0,241960.0,1.0
28.87,1.0,4461.5,1.0
36.64,1.0,24196.0,1.0
21.2,1.0,17329.0,1.0
15.26,1.0,19863.0,1.0
49.975,1.0,4810.0,1.0
23.74,1.0,24196.0,1.0
88.36,1.0,18420.0,1.0
80.74,1.0,241960.0,1.0
10.0,1.0,9208.0,1.0
39.28,1.0,54750.0,1.0
36.72,1.0,6867.0,1.0
49.46,1.0,241960.0,1.0
24.96,1.0,16070.0,1.0
37.08,1.0,155310.0,1.0
54.51,1.0,15150.0,1.0
30.82,1.0,104620.0,1.0
49.845,1.0,98743.0,2.54
47.08,3.45,24196.0,1.0
68.44,4.08,24196.0,1.0
50.41,4.52,24196.0,1.0
31.18,1.0,7270.0,1.0
10.87,1.0,226.0,1.0
10.0,1.0,538.0,1.0
11.7,1.0,171.0,1.0
10.0,1.0,663.0,1.0
10.0,1.0,364.0,1.0
10.0,1.0,1124.0,1.0
10.0,1.0,211.0,1.0
10.0,1.0,241.0,1.0
10.0,1.0,20.0,1.0
10.0,1.0,148.0,1.0
10.0,1.0,41.0,1.0
10.0,1.0,246.0,1.0
